pressure,first_abs_mean01,first_nonzero_ratio,peak_abs_mean01,peak_nonzero_ratio,steady_tail_abs_mean01,steady_tail_nonzero_ratio,first_vs_peak_abs,first_vs_steady_abs,first_vs_peak_area,first_vs_steady_area
0.005,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0
0.021,0,0,0,0,0,0,0,0,0,0
0.023,0,0,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0,0,0
0.027,0,0,0,0,0,0,0,0,0,0
0.029,0,0,0,0,0,0,0,0,0,0
0.031,0,0,0,0,0,0,0,0,0,0
0.033,0,0,0,0,0,0,0,0,0,0
0.035,0,0,0,0,0,0,0,0,0,0
0.037,0,0,0,0,0,0,0,0,0,0
0.039,0,0,0,0,0,0,0,0,0,0
0.041,0,0,0,0,0,0,0,0,0,0
0.043,0,0,0,0,0,0,0,0,0,0
0.045,0,0,0,0,0,0,0,0,0,0
0.047,0,0,0,0,0,0,0,0,0,0
0.049,0,0,0,0,0,0,0,0,0,0
0.051,0,0,0,0,0,0,0,0,0,0
0.053,0,0,0.00000035,0.00008884,0.00000024,0.00005997,0,0,0,0
0.055,0,0,0.00000261,0.00066632,0.00000225,0.00057082,0,0,0,0
0.057,0,0,0.00001599,0.00405124,0.00001527,0.00386245,0,0,0,0
0.059,0,0,0.00006811,0.0170401,0.00006548,0.016376,0,0,0,0
0.061,0,0,0.00019817,0.04855275,0.0001945,0.04764655,0,0,0,0
0.063,0,0,0.00044063,0.10559001,0.00043658,0.10415519,0,0,0,0
0.065,0,0,0.00078569,0.1823682,0.00078411,0.18177739,0,0,0,0
0.067,0,0,0.00121419,0.27328133,0.00120024,0.27032286,0,0,0,0
0.069,0,0,0.00166534,0.36343041,0.00164076,0.35956796,0,0,0,0
0.071,0,0,0.00205938,0.43835178,0.00203958,0.43600855,0,0,0,0
0.073,0,0,0.00240591,0.50251426,0.00238328,0.49828311,0,0,0,0
0.075,0.00000007,0.00001777,0.00266811,0.54684696,0.00264203,0.5437219,0.00002612,0.00002637,0.00003249,0.00003268
0.077,0.00000035,0.00008884,0.00292381,0.56233231,0.00282308,0.57586755,0.00011916,0.00012341,0.00015799,0.00015428
0.079,0.00000125,0.00031984,0.0031941,0.60761563,0.00296888,0.60189191,0.00039268,0.00042247,0.00052638,0.00053138
0.081,0.00000293,0.00074628,0.00339879,0.64309067,0.00306441,0.61817019,0.00086107,0.00095503,0.00116046,0.00120724
0.083,0.00000669,0.00170579,0.00355644,0.67096075,0.00311642,0.62709448,0.00188091,0.00214649,0.00254231,0.00272014
0.085,0.00001411,0.00359814,0.00368176,0.69347359,0.00314654,0.63422635,0.00383251,0.0044844,0.00518858,0.00567328
0.087,0.00002596,0.00661881,0.00376691,0.71129551,0.00315979,0.63880399,0.00689056,0.0082145,0.00930529,0.01036125
0.089,0.00004404,0.01122977,0.00382429,0.72478189,0.00316678,0.6431773,0.01151541,0.01390635,0.01549399,0.01745983
0.091,0.00006923,0.01765312,0.00384994,0.73642922,0.00316416,0.64462766,0.01798157,0.0218788,0.02397124,0.02738499
0.093,0.00010302,0.0262709,0.00385966,0.74567778,0.00317095,0.6481303,0.0266923,0.03248969,0.0352309,0.04053336
0.095,0.00014839,0.03783827,0.00387924,0.75498854,0.00316957,0.65020923,0.03825117,0.04681557,0.05011767,0.05819399
0.097,0.00020483,0.05223085,0.0038908,0.76034578,0.00316411,0.65218598,0.05264383,0.0647344,0.06869355,0.08008582
0.099,0.00027322,0.06967075,0.00390833,0.7698431,0.00316139,0.6548957,0.06990676,0.08642346,0.09049993,0.10638449
