# source=reproduction features
# input_file=kernel-sweep-wide-count10-stair-prediction-compare.csv
p_header,p_value,joint_count,joint_step,joint_span,local_slope_u250,local_slope_u400,local_slope_u550,local_slope_u700,local_slope_u850,curvature_budget,terminal_headroom
0_05,0.05,2,0.5,4000.5,,,,,,,0.0
0_15,0.15,5,0.14285714266666666,1554,,,,,,,0.0
0_25,0.25,11,0.0714285712,609,,,,,,,0.0
0_35,0.35,20,0.04347826114285715,312,,,,,,,0.0
0_45,0.45,32,0.028571428666666666,181,,,,,,,0.0
0_55,0.55,47,0.02040816327272727,122,,,,,,,0.0
0_65,0.65,66,0.014925373076923078,83,,,,,,,0.0
0_75,0.75,88,0.011363636266666666,58,,,,,,,0.3499999999999943
0_85,0.85,112,0.008928571411764705,43,,,,,,,1.2000000000000028
0_95,0.95,138,0.007246376736842105,33.5,,,,,,,1.6124999999999972
