# source=kernel stair detail
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_05,0.05,1,0,5142,0,64.275,5143,0.05,0.025,,,
0_05,0.05,2,5143,8000,64.2875,100,2858,0.025,,-2285,0.55570679,-0.84760424
0_15,0.15,1,0,1726,0,21.575,1727,0.15,0.021428571,,,
0_15,0.15,2,1727,4252,21.5875,53.15,2526,0.128571429,0.0214285725,799,1.462652,0.54858656
0_15,0.15,3,4253,5806,53.1625,72.575,1554,0.1071428565,0.021428571,-972,0.6152019,-0.70086814
0_15,0.15,4,5807,7006,72.5875,87.575,1200,0.0857142855,0.021428571,-354,0.77220077,-0.3729521
0_15,0.15,5,7007,8000,87.5875,100,994,0.0642857145,,-206,0.82833333,-0.27171665
0_25,0.25,1,0,615,0,7.6875,616,0.25,0.0178571425,,,
0_25,0.25,2,616,2481,7.7,31.0125,1866,0.2321428575,0.0178571425,1250,3.02922078,1.59894673
0_25,0.25,3,2482,3540,31.025,44.25,1059,0.214285715,0.0178571425,-807,0.56752412,-0.8172464
0_25,0.25,4,3541,4285,44.2625,53.5625,745,0.1964285725,0.017857145,-314,0.70349386,-0.50739026
0_25,0.25,5,4286,4984,53.575,62.3,699,0.1785714275,0.0178571425,-46,0.93825503,-0.09194797
0_25,0.25,6,4985,5593,62.3125,69.9125,609,0.160714285,0.0178571425,-90,0.87124464,-0.19885023
0_25,0.25,7,5594,6135,69.925,76.6875,542,0.1428571425,0.0178571425,-67,0.88998358,-0.16814938
0_25,0.25,8,6136,6644,76.7,83.05,509,0.125,0.0178571425,-33,0.93911439,-0.0906272
0_25,0.25,9,6645,7133,83.0625,89.1625,489,0.1071428575,0.0178571425,-20,0.96070727,-0.05783119
0_25,0.25,10,7134,7608,89.175,95.1,475,0.089285715,0.0178571425,-14,0.97137014,-0.04190695
0_25,0.25,11,7609,8000,95.1125,100,392,0.0714285725,,-83,0.82526316,-0.27707386
0_35,0.35,1,0,483,0,6.0375,484,0.35,0.015217391,,,
0_35,0.35,2,484,1586,6.05,19.825,1103,0.334782609,0.015217391,619,2.27892562,1.18835384
0_35,0.35,3,1587,2700,19.8375,33.75,1114,0.319565218,0.015217391,11,1.0099728,0.01431644
0_35,0.35,4,2701,3286,33.7625,41.075,586,0.304347827,0.015217391,-528,0.52603232,-0.92677666
0_35,0.35,5,3287,3678,41.0875,45.975,392,0.289130436,0.015217391,-194,0.66894198,-0.58004701
0_35,0.35,6,3679,4068,45.9875,50.85,390,0.273913045,0.0152173945,-2,0.99489796,-0.00737953
0_35,0.35,7,4069,4458,50.8625,55.725,390,0.2586956505,0.015217391,0,1,0
0_35,0.35,8,4459,4826,55.7375,60.325,368,0.2434782595,0.015217391,-22,0.94358974,-0.08376836
0_35,0.35,9,4827,5169,60.3375,64.6125,343,0.2282608685,0.015217391,-25,0.93206522,-0.10149719
0_35,0.35,10,5170,5492,64.625,68.65,323,0.2130434775,0.015217391,-20,0.94169096,-0.08667441
0_35,0.35,11,5493,5793,68.6625,72.4125,301,0.1978260865,0.015217391,-22,0.93188854,-0.10177068
0_35,0.35,12,5794,6078,72.425,75.975,285,0.1826086955,0.015217391,-16,0.94684385,-0.07880157
0_35,0.35,13,6079,6355,75.9875,79.4375,277,0.1673913045,0.015217391,-8,0.97192982,-0.04107594
0_35,0.35,14,6356,6625,79.45,82.8125,270,0.1521739135,0.015217391,-7,0.97472924,-0.03692657
0_35,0.35,15,6626,6889,82.825,86.1125,264,0.1369565225,0.015217391,-6,0.97777778,-0.03242148
0_35,0.35,16,6890,7149,86.125,89.3625,260,0.1217391315,0.015217391,-4,0.98484848,-0.02202631
0_35,0.35,17,7150,7406,89.375,92.575,257,0.1065217405,0.015217391,-3,0.98846154,-0.01674326
0_35,0.35,18,7407,7659,92.5875,95.7375,253,0.0913043495,0.0152173945,-4,0.9844358,-0.02263097
0_35,0.35,19,7660,7911,95.75,98.8875,252,0.076086955,0.015217391,-1,0.99604743,-0.00571365
0_35,0.35,20,7912,8000,98.9,100,89,0.060869564,,-163,0.3531746,-1.50154649
0_45,0.45,1,0,111,0,1.3875,112,0.45,0.0128571435,,,
0_45,0.45,2,112,840,1.4,10.5,729,0.4371428565,0.0128571435,617,6.50892857,2.70242008
0_45,0.45,3,841,1573,10.5125,19.6625,733,0.424285713,0.0128571435,4,1.00548697,0.00789438
0_45,0.45,4,1574,2310,19.675,28.875,737,0.4114285695,0.012857139,4,1.00545703,0.00785142
0_45,0.45,5,2311,3015,28.8875,37.6875,705,0.3985714305,0.0128571435,-32,0.95658073,-0.06404136
0_45,0.45,6,3016,3255,37.7,40.6875,240,0.385714287,0.0128571435,-465,0.34042553,-1.55458885
0_45,0.45,7,3256,3494,40.7,43.675,239,0.3728571435,0.0128571435,-1,0.99583333,-0.00602379
0_45,0.45,8,3495,3732,43.6875,46.65,238,0.36,0.0128571435,-1,0.9958159,-0.00604904
0_45,0.45,9,3733,3969,46.6625,49.6125,237,0.3471428565,0.0128571435,-1,0.99579832,-0.00607451
0_45,0.45,10,3970,4206,49.625,52.575,237,0.334285713,0.0128571435,0,1,0
0_45,0.45,11,4207,4441,52.5875,55.5125,235,0.3214285695,0.012857139,-2,0.99156118,-0.0122263
0_45,0.45,12,4442,4669,55.525,58.3625,228,0.3085714305,0.0128571435,-7,0.97021277,-0.04362693
0_45,0.45,13,4670,4887,58.375,61.0875,218,0.295714287,0.0128571435,-10,0.95614035,-0.06470569
0_45,0.45,14,4888,5095,61.1,63.6875,208,0.2828571435,0.0128571435,-10,0.95412844,-0.06774461
0_45,0.45,15,5096,5297,63.7,66.2125,202,0.27,0.0128571435,-6,0.97115385,-0.04222824
0_45,0.45,16,5298,5492,66.225,68.65,195,0.2571428565,0.0128571435,-7,0.96534653,-0.05088117
0_45,0.45,17,5493,5679,68.6625,70.9875,187,0.244285713,0.0128571435,-8,0.95897436,-0.06043585
0_45,0.45,18,5680,5854,71,73.175,175,0.2314285695,0.012857139,-12,0.93582888,-0.09568335
0_45,0.45,19,5855,6026,73.1875,75.325,172,0.2185714305,0.0128571435,-3,0.98285714,-0.02494636
0_45,0.45,20,6027,6195,75.3375,77.4375,169,0.205714287,0.0128571435,-3,0.98255814,-0.02538532
0_45,0.45,21,6196,6361,77.45,79.5125,166,0.1928571435,0.0128571435,-3,0.98224852,-0.02584
0_45,0.45,22,6362,6525,79.525,81.5625,164,0.18,0.0128571435,-2,0.98795181,-0.01748743
