# source=kernel stair summary
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_count,transition_count,mean_tread_px,median_tread_px,max_tread_px,mean_riser01,std_riser01,last_nonzero_r_px,last_nonzero_r_norm,start_level_eff01
0_05,0.05,2,1,4000.5,4000.5,5143,0.025,0,8000,100,0.05
0_15,0.15,5,4,1600.2,1554,2526,0.0214285714,0.0000000006,8000,100,0.15
0_25,0.25,11,10,727.36363636,609,1866,0.0178571428,0.0000000008,8000,100,0.25
0_35,0.35,20,19,400.05,312,1114,0.0152173914,0.0000000011,8000,100,0.35
0_45,0.45,32,31,250.03125,181,737,0.0128571429,0.0000000015,8000,100,0.45
0_55,0.55,47,46,170.23404255,122,526,0.0112244898,0.0000000026,8000,100,0.55
0_65,0.65,66,65,121.22727273,83,400,0.0097014925,0.000000003,8000,100,0.65
0_75,0.75,88,87,90.60227273,58,324,0.0085227272,0.0000000036,7972,99.65,0.75
0_85,0.85,112,111,70.58035714,43,278,0.0075892857,0.000000003,7904,98.8,0.85
0_95,0.95,138,137,57.04347826,33.5,253,0.0068840579,0.0000000044,7871,98.3875,0.95
