# source=InkDrawGen generated dot obs=1414_989 canvas=5 pressure=0.3 opacity=1
# size=200
# scale=80
# angle_step_deg=1
# angle_count=360
# paper_tile=NoiseTile-angle1-maxr8000-canvas5-papertile-seed1414_988-S200-P1.0-Op1-scale80-start22_22-size3482x3482.png
# obs_seed_px=1414,988
# obs_paper_tile_px=1414,989
# obs_actual_px=1414,989
# obs_window_px=9
# p_sweep_count=10
# zero_policy=keep_zero_as_missing, no_interpolation
# aggregate=median
r_px,r_norm,kernel01,valid_angle_count,mean01,min01,max01,stddev01
0,0,1,360,1,1,1,0
1,0.0125,1,360,1,1,1,0
2,0.025,1,360,1,1,1,0
3,0.0375,1,360,1,1,1,0
4,0.05,1,360,1,1,1,0
5,0.0625,1,360,1,1,1,0
6,0.075,1,360,1,1,1,0
7,0.0875,1,360,1,1,1,0
8,0.1,1,360,1,1,1,0
9,0.1125,1,360,1,1,1,0
10,0.125,1,360,1,1,1,0
11,0.1375,1,360,1,1,1,0
12,0.15,1,360,1,1,1,0
13,0.1625,1,360,1,1,1,0
14,0.175,1,360,1,1,1,0
15,0.1875,1,360,1,1,1,0
16,0.2,1,360,1,1,1,0
17,0.2125,1,360,1,1,1,0
18,0.225,1,360,1,1,1,0
19,0.2375,1,360,1,1,1,0
20,0.25,1,360,1,1,1,0
21,0.2625,1,360,1,1,1,0
22,0.275,1,360,1,1,1,0
23,0.2875,1,360,1,1,1,0
24,0.3,1,360,1,1,1,0
25,0.3125,1,360,1,1,1,0
26,0.325,1,360,1,1,1,0
27,0.3375,1,360,1,1,1,0
28,0.35,1,360,1,1,1,0
29,0.3625,1,360,1,1,1,0
30,0.375,1,360,1,1,1,0
31,0.3875,1,360,1,1,1,0
32,0.4,1,360,1,1,1,0
33,0.4125,1,360,1,1,1,0
34,0.425,1,360,1,1,1,0
35,0.4375,1,360,1,1,1,0
36,0.45,1,360,1,1,1,0
37,0.4625,1,360,1,1,1,0
38,0.475,1,360,1,1,1,0
39,0.4875,1,360,1,1,1,0
40,0.5,1,360,1,1,1,0
41,0.5125,1,360,1,1,1,0
42,0.525,1,360,1,1,1,0
43,0.5375,1,360,1,1,1,0
44,0.55,1,360,1,1,1,0
45,0.5625,1,360,1,1,1,0
46,0.575,1,360,1,1,1,0
47,0.5875,1,360,1,1,1,0
48,0.6,1,360,1,1,1,0
49,0.6125,1,360,1,1,1,0
50,0.625,1,360,1,1,1,0
51,0.6375,1,360,1,1,1,0
52,0.65,1,360,1,1,1,0
53,0.6625,1,360,1,1,1,0
54,0.675,1,360,1,1,1,0
55,0.6875,1,360,1,1,1,0
56,0.7,1,360,1,1,1,0
57,0.7125,1,360,1,1,1,0
58,0.725,1,360,1,1,1,0
59,0.7375,1,360,1,1,1,0
60,0.75,1,360,1,1,1,0
61,0.7625,1,360,1,1,1,0
62,0.775,1,360,1,1,1,0
63,0.7875,1,360,1,1,1,0
64,0.8,1,360,1,1,1,0
65,0.8125,1,360,1,1,1,0
66,0.825,1,360,1,1,1,0
67,0.8375,1,360,1,1,1,0
68,0.85,1,360,1,1,1,0
69,0.8625,1,360,1,1,1,0
70,0.875,1,360,1,1,1,0
71,0.8875,1,360,1,1,1,0
72,0.9,1,360,1,1,1,0
73,0.9125,1,360,1,1,1,0
74,0.925,1,360,1,1,1,0
