# source=reproduction features
# input_file=kernel-sweep-wide-count20-stair-prediction-compare.csv
p_header,p_value,joint_count,joint_step,joint_span,local_slope_u250,local_slope_u400,local_slope_u550,local_slope_u700,local_slope_u850,curvature_budget,terminal_headroom
0_05,0.05,2,0.5,4000.5,,,,,,,0
0_1,0.1,3,0.25,2727,-0.0000091676,-0.0000091676,-0.0000091676,-0.0000091676,-0.0000091676,0,0
0_15,0.15,5,0.1428571425,1554,-0.0000098097,-0.0000150097,-0.0000192809,-0.0000235521,-0.0000278234,0.99999998,0
0_2,0.2,8,0.1,862,-0.0000179211,-0.0000233695,-0.0000275103,-0.0000295349,-0.0000315595,1,0
0_25,0.25,11,0.071428571,609,-0.0000239693,-0.0000296845,-0.0000353698,-0.0000379169,-0.0000401771,0.99999999,0
0_3,0.3,15,0.0555555557,421,-0.0000316256,-0.0000386527,-0.0000455762,-0.0000487906,-0.0000503478,1.99999997,0
0_35,0.35,20,0.0434782611,312,-0.000039019,-0.0000462885,-0.0000551501,-0.0000589384,-0.0000606371,1.99999995,0
0_4,0.4,25,0.0357142858,238,-0.0000476987,-0.000056581,-0.0000672302,-0.0000715373,-0.0000746349,3.00000007,0
0_45,0.45,32,0.0285714287,181,-0.0000542496,-0.0000627312,-0.000075746,-0.0000813743,-0.0000847265,3.99999983,0
0_5,0.5,39,0.0238095237,146,-0.000062004,-0.0000715138,-0.0000870276,-0.000093665,-0.0000977413,5.00000007,0
0_55,0.55,47,0.0204081633,122,-0.0000709294,-0.0000827192,-0.000100625,-0.0001079278,-0.0001135523,5.00000018,0
0_6,0.6,56,0.0172413793,102.5,-0.0000777807,-0.0000902747,-0.0001117183,-0.0001204302,-0.0001274024,6.00000025,0
0_65,0.65,66,0.0149253731,83,-0.0000856656,-0.0001006471,-0.0001259934,-0.0001358817,-0.000142669,6.9999999,0
0_7,0.7,77,0.012987013,68,-0.0000925301,-0.0001099297,-0.000137741,-0.0001500248,-0.0001594897,7.99999968,0
0_75,0.75,88,0.0113636363,58,-0.000098532,-0.0001190518,-0.0001544149,-0.0001642199,-0.0001775568,9.00000027,0.35
0_8,0.8,100,0.01,50,-0.0001038961,-0.0001269841,-0.0001666667,-0.0001818182,-0.000197561,10,0.8375
0_85,0.85,112,0.0089285714,43,-0.0001100127,-0.0001370288,-0.0001806972,-0.0002040639,-0.0002150298,9.99999951,1.2
0_9,0.9,125,0.008,38,-0.0001142857,-0.0001454694,-0.0001986486,-0.0002181818,-0.0002380645,11,1.45
0_95,0.95,138,0.0072463768,33.5,-0.0001186907,-0.0001590028,-0.0002151268,-0.0002382292,-0.00026281,11.9999998,1.6125
1,1,152,0.0065789474,30,-0.0001229818,-0.000168691,-0.0002276706,-0.000263158,-0.0002860413,12.00000027,1.675
