# source=kernel stair detail
# input_file=kernel-sweep-wide-count20.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_05,0.05,1,0,5142,0,64.275,5143,0.05,0.025,,,
0_05,0.05,2,5143,8000,64.2875,100,2858,0.025,,-2285,0.55570679,-0.84760424
0_1,0.1,1,0,3972,0,49.65,3973,0.1,0.025,,,
0_1,0.1,2,3973,6699,49.6625,83.7375,2727,0.075,0.025,-1246,0.68638309,-0.54291409
0_1,0.1,3,6700,8000,83.75,100,1301,0.05,,-1426,0.47708104,-1.06769374
0_15,0.15,1,0,1726,0,21.575,1727,0.15,0.021428571,,,
0_15,0.15,2,1727,4252,21.5875,53.15,2526,0.128571429,0.0214285725,799,1.462652,0.54858656
0_15,0.15,3,4253,5806,53.1625,72.575,1554,0.1071428565,0.021428571,-972,0.6152019,-0.70086814
0_15,0.15,4,5807,7006,72.5875,87.575,1200,0.0857142855,0.021428571,-354,0.77220077,-0.3729521
0_15,0.15,5,7007,8000,87.5875,100,994,0.0642857145,,-206,0.82833333,-0.27171665
0_2,0.2,1,0,1638,0,20.475,1639,0.2,0.02,,,
0_2,0.2,2,1639,3534,20.4875,44.175,1896,0.18,0.02,257,1.15680293,0.21014311
0_2,0.2,3,3535,4650,44.1875,58.125,1116,0.16,0.02,-780,0.58860759,-0.76462194
0_2,0.2,4,4651,5585,58.1375,69.8125,935,0.14,0.02,-181,0.83781362,-0.25529876
0_2,0.2,5,5586,6374,69.825,79.675,789,0.12,0.02,-146,0.84385027,-0.24494106
0_2,0.2,6,6375,7101,79.6875,88.7625,727,0.1,0.02,-62,0.92141952,-0.11806994
0_2,0.2,7,7102,7794,88.775,97.425,693,0.08,0.02,-34,0.95323246,-0.06910001
0_2,0.2,8,7795,8000,97.4375,100,206,0.06,,-487,0.2972583,-1.75021101
0_25,0.25,1,0,615,0,7.6875,616,0.25,0.0178571425,,,
0_25,0.25,2,616,2481,7.7,31.0125,1866,0.2321428575,0.0178571425,1250,3.02922078,1.59894673
0_25,0.25,3,2482,3540,31.025,44.25,1059,0.214285715,0.0178571425,-807,0.56752412,-0.8172464
0_25,0.25,4,3541,4285,44.2625,53.5625,745,0.1964285725,0.017857145,-314,0.70349386,-0.50739026
0_25,0.25,5,4286,4984,53.575,62.3,699,0.1785714275,0.0178571425,-46,0.93825503,-0.09194797
0_25,0.25,6,4985,5593,62.3125,69.9125,609,0.160714285,0.0178571425,-90,0.87124464,-0.19885023
0_25,0.25,7,5594,6135,69.925,76.6875,542,0.1428571425,0.0178571425,-67,0.88998358,-0.16814938
0_25,0.25,8,6136,6644,76.7,83.05,509,0.125,0.0178571425,-33,0.93911439,-0.0906272
0_25,0.25,9,6645,7133,83.0625,89.1625,489,0.1071428575,0.0178571425,-20,0.96070727,-0.05783119
0_25,0.25,10,7134,7608,89.175,95.1,475,0.089285715,0.0178571425,-14,0.97137014,-0.04190695
0_25,0.25,11,7609,8000,95.1125,100,392,0.0714285725,,-83,0.82526316,-0.27707386
0_3,0.3,1,0,818,0,10.225,819,0.3,0.016666668,,,
0_3,0.3,2,819,2231,10.2375,27.8875,1413,0.283333332,0.016666665,594,1.72527473,0.78682611
0_3,0.3,3,2232,3243,27.9,40.5375,1012,0.266666667,0.016666668,-401,0.71620665,-0.48155218
0_3,0.3,4,3244,3770,40.55,47.125,527,0.249999999,0.016666665,-485,0.52075099,-0.94133442
0_3,0.3,5,3771,4297,47.1375,53.7125,527,0.233333334,0.016666668,0,1,0
0_3,0.3,6,4298,4803,53.725,60.0375,506,0.216666666,0.016666665,-21,0.9601518,-0.05866558
0_3,0.3,7,4804,5260,60.05,65.75,457,0.200000001,0.016666668,-49,0.90316206,-0.14694322
0_3,0.3,8,5261,5681,65.7625,71.0125,421,0.183333333,0.016666665,-36,0.92122538,-0.11837393
0_3,0.3,9,5682,6066,71.025,75.825,385,0.166666668,0.016666668,-36,0.91448931,-0.12896179
0_3,0.3,10,6067,6437,75.8375,80.4625,371,0.15,0.016666668,-14,0.96363636,-0.05343926
0_3,0.3,11,6438,6795,80.475,84.9375,358,0.133333332,0.016666665,-13,0.96495957,-0.0514596
0_3,0.3,12,6796,7145,84.95,89.3125,350,0.116666667,0.016666668,-8,0.97765363,-0.03260467
0_3,0.3,13,7146,7487,89.325,93.5875,342,0.099999999,0.016666665,-8,0.97714286,-0.0333586
0_3,0.3,14,7488,7825,93.6,97.8125,338,0.083333334,0.016666668,-4,0.98830409,-0.01697308
0_3,0.3,15,7826,8000,97.825,100,175,0.066666666,,-163,0.51775148,-0.94966832
0_35,0.35,1,0,483,0,6.0375,484,0.35,0.015217391,,,
0_35,0.35,2,484,1586,6.05,19.825,1103,0.334782609,0.015217391,619,2.27892562,1.18835384
0_35,0.35,3,1587,2700,19.8375,33.75,1114,0.319565218,0.015217391,11,1.0099728,0.01431644
0_35,0.35,4,2701,3286,33.7625,41.075,586,0.304347827,0.015217391,-528,0.52603232,-0.92677666
0_35,0.35,5,3287,3678,41.0875,45.975,392,0.289130436,0.015217391,-194,0.66894198,-0.58004701
0_35,0.35,6,3679,4068,45.9875,50.85,390,0.273913045,0.0152173945,-2,0.99489796,-0.00737953
0_35,0.35,7,4069,4458,50.8625,55.725,390,0.2586956505,0.015217391,0,1,0
0_35,0.35,8,4459,4826,55.7375,60.325,368,0.2434782595,0.015217391,-22,0.94358974,-0.08376836
0_35,0.35,9,4827,5169,60.3375,64.6125,343,0.2282608685,0.015217391,-25,0.93206522,-0.10149719
0_35,0.35,10,5170,5492,64.625,68.65,323,0.2130434775,0.015217391,-20,0.94169096,-0.08667441
0_35,0.35,11,5493,5793,68.6625,72.4125,301,0.1978260865,0.015217391,-22,0.93188854,-0.10177068
0_35,0.35,12,5794,6078,72.425,75.975,285,0.1826086955,0.015217391,-16,0.94684385,-0.07880157
0_35,0.35,13,6079,6355,75.9875,79.4375,277,0.1673913045,0.015217391,-8,0.97192982,-0.04107594
0_35,0.35,14,6356,6625,79.45,82.8125,270,0.1521739135,0.015217391,-7,0.97472924,-0.03692657
0_35,0.35,15,6626,6889,82.825,86.1125,264,0.1369565225,0.015217391,-6,0.97777778,-0.03242148
0_35,0.35,16,6890,7149,86.125,89.3625,260,0.1217391315,0.015217391,-4,0.98484848,-0.02202631
0_35,0.35,17,7150,7406,89.375,92.575,257,0.1065217405,0.015217391,-3,0.98846154,-0.01674326
0_35,0.35,18,7407,7659,92.5875,95.7375,253,0.0913043495,0.0152173945,-4,0.9844358,-0.02263097
