# source=reproduction features
# input_file=kernel-sweep-wide-count10-stair-summary.csv
p_header,p_value,joint_count,joint_step,joint_span,local_slope_u250,local_slope_u400,local_slope_u550,local_slope_u700,local_slope_u850,curvature_budget,terminal_headroom
0_1,0.1,3,0.25,2727,,,,,,,0.0
0_2,0.2,8,0.09999999999999999,862,,,,,,,0.0
0_3,0.3,15,0.055555555666666666,421,,,,,,,0.0
0_4,0.4,25,0.03571428575,238,,,,,,,0.0
0_5,0.5,39,0.0238095236,146,,,,,,,0.0
0_6,0.6,56,0.017241379333333334,102.5,,,,,,,0.0
0_7,0.7,77,0.012987013000000002,68,,,,,,,0.0
0_8,0.8,100,0.01,50,,,,,,,0.8375000000000057
0_9,0.9,125,0.008,38,,,,,,,1.4500000000000028
1,1,152,0.0065789474,30,,,,,,,1.6749999999999972
