p_header, p_value, plateau_index, start_r_px, end_r_px, start_r_norm, end_r_norm, tread_px, level_eff01, riser_to_next01, delta_tread_to_prev, tread_ratio_to_prev, log2_tread_ratio_to_prev
0_1     ,     0.1,             1,          0,     3972,       0     ,    49.65  ,     3973, 0.1        ,     0.025      ,                    ,                    , 
0_1     ,     0.1,             2,       3973,     6699,      49.6625,    83.7375,     2727, 0.075      ,     0.025      , -1246              ,          0.68638309, -0.54291409
0_1     ,     0.1,             3,       6700,     8000,      83.75  ,   100     ,     1301, 0.05       ,                , -1426              ,          0.47708104, -1.06769374
0_2     ,     0.2,             1,          0,     1638,       0     ,    20.475 ,     1639, 0.2        ,     0.02       ,                    ,                    , 
0_2     ,     0.2,             2,       1639,     3534,      20.4875,    44.175 ,     1896, 0.18       ,     0.02       , 257                ,          1.15680293, 0.21014311
0_2     ,     0.2,             3,       3535,     4650,      44.1875,    58.125 ,     1116, 0.16       ,     0.02       , -780               ,          0.58860759, -0.76462194
0_2     ,     0.2,             4,       4651,     5585,      58.1375,    69.8125,      935, 0.14       ,     0.02       , -181               ,          0.83781362, -0.25529876
0_2     ,     0.2,             5,       5586,     6374,      69.825 ,    79.675 ,      789, 0.12       ,     0.02       , -146               ,          0.84385027, -0.24494106
0_2     ,     0.2,             6,       6375,     7101,      79.6875,    88.7625,      727, 0.1        ,     0.02       , -62                ,          0.92141952, -0.11806994
0_2     ,     0.2,             7,       7102,     7794,      88.775 ,    97.425 ,      693, 0.08       ,     0.02       , -34                ,          0.95323246, -0.06910001
0_2     ,     0.2,             8,       7795,     8000,      97.4375,   100     ,      206, 0.06       ,                , -487               ,          0.2972583 , -1.75021101
0_3     ,     0.3,             1,          0,      818,       0     ,    10.225 ,      819, 0.3        ,     0.016666668,                    ,                    , 
0_3     ,     0.3,             2,        819,     2231,      10.2375,    27.8875,     1413, 0.283333332,     0.016666665, 594                ,          1.72527473, 0.78682611
0_3     ,     0.3,             3,       2232,     3243,      27.9   ,    40.5375,     1012, 0.266666667,     0.016666668, -401               ,          0.71620665, -0.48155218
0_3     ,     0.3,             4,       3244,     3770,      40.55  ,    47.125 ,      527, 0.249999999,     0.016666665, -485               ,          0.52075099, -0.94133442
0_3     ,     0.3,             5,       3771,     4297,      47.1375,    53.7125,      527, 0.233333334,     0.016666668, 0                  ,          1         , 0
0_3     ,     0.3,             6,       4298,     4803,      53.725 ,    60.0375,      506, 0.216666666,     0.016666665, -21                ,          0.9601518 , -0.05866558
0_3     ,     0.3,             7,       4804,     5260,      60.05  ,    65.75  ,      457, 0.200000001,     0.016666668, -49                ,          0.90316206, -0.14694322
0_3     ,     0.3,             8,       5261,     5681,      65.7625,    71.0125,      421, 0.183333333,     0.016666665, -36                ,          0.92122538, -0.11837393
0_3     ,     0.3,             9,       5682,     6066,      71.025 ,    75.825 ,      385, 0.166666668,     0.016666668, -36                ,          0.91448931, -0.12896179
0_3     ,     0.3,            10,       6067,     6437,      75.8375,    80.4625,      371, 0.15       ,     0.016666668, -14                ,          0.96363636, -0.05343926
0_3     ,     0.3,            11,       6438,     6795,      80.475 ,    84.9375,      358, 0.133333332,     0.016666665, -13                ,          0.96495957, -0.0514596
0_3     ,     0.3,            12,       6796,     7145,      84.95  ,    89.3125,      350, 0.116666667,     0.016666668, -8                 ,          0.97765363, -0.03260467
0_3     ,     0.3,            13,       7146,     7487,      89.325 ,    93.5875,      342, 0.099999999,     0.016666665, -8                 ,          0.97714286, -0.0333586
