# source=kernel stair summary
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_count,transition_count,mean_tread_px,median_tread_px,max_tread_px,mean_riser01,std_riser01,last_nonzero_r_px,last_nonzero_r_norm,start_level_eff01
0_1,0.1,3,2,2667,2727,3973,0.025,0,8000,100,0.1
0_2,0.2,8,7,1000.125,862,1896,0.02,0,8000,100,0.2
0_3,0.3,15,14,533.4,421,1413,0.0166666667,0.0000000015,8000,100,0.3
0_4,0.4,25,24,320.04,238,897,0.0142857143,0.000000002,8000,100,0.4
0_5,0.5,39,38,205.15384615,146,618,0.0119047618,0.0000000024,8000,100,0.5
0_6,0.6,56,55,142.875,102.5,455,0.0103448276,0.0000000016,8000,100,0.6
0_7,0.7,77,76,103.90909091,68,357,0.0090909091,0.0000000032,8000,100,0.7
0_8,0.8,100,99,79.34,50,298,0.008,0,7933,99.1625,0.8
0_9,0.9,125,124,63.08,38,262,0.0072,0,7884,98.55,0.9
1,1,152,151,51.75657895,30,250,0.0065789474,0.0000000044,7866,98.325,1
