# normalized-falloff S0=200 P=1 N=1 count=1
r_norm,mean_alpha,stddev_alpha,count
0,0.62058824,0,1
1,0.59534314,0,1
2,0.58498039,0,1
3,0.57587779,0,1
4,0.58093891,0,1
5,0.59263952,0,1
6,0.58327282,0,1
7,0.58071895,0,1
8,0.58169935,0,1
9,0.57888321,0,1
10,0.57782234,0,1
11,0.57845316,0,1
12,0.58062284,0,1
13,0.57204715,0,1
14,0.56878431,0,1
15,0.57036239,0,1
16,0.56739468,0,1
17,0.56765635,0,1
18,0.56449426,0,1
19,0.56657141,0,1
20,0.56493213,0,1
21,0.5644752,0,1
22,0.56227758,0,1
23,0.56326603,0,1
24,0.56082624,0,1
25,0.55697864,0,1
26,0.55557112,0,1
27,0.55181781,0,1
28,0.55310135,0,1
29,0.55009033,0,1
30,0.55126845,0,1
31,0.54796019,0,1
32,0.54976499,0,1
33,0.54650469,0,1
34,0.54336456,0,1
35,0.54587483,0,1
36,0.54310193,0,1
37,0.5423605,0,1
38,0.53992612,0,1
39,0.53489672,0,1
40,0.53014462,0,1
41,0.52496201,0,1
42,0.5163343,0,1
43,0.51650724,0,1
44,0.50518562,0,1
45,0.50149182,0,1
46,0.49581026,0,1
47,0.49235393,0,1
48,0.48772379,0,1
49,0.47993646,0,1
50,0.47554526,0,1
51,0.46952726,0,1
52,0.46541587,0,1
53,0.45555808,0,1
54,0.45599752,0,1
55,0.45042441,0,1
56,0.44457174,0,1
57,0.43686731,0,1
58,0.42732594,0,1
59,0.42556922,0,1
60,0.41900794,0,1
61,0.41113824,0,1
62,0.40455108,0,1
63,0.39921221,0,1
64,0.38937405,0,1
65,0.38489393,0,1
66,0.37379905,0,1
67,0.36833984,0,1
68,0.36062772,0,1
69,0.35092574,0,1
70,0.34121097,0,1
71,0.334715,0,1
72,0.32437556,0,1
73,0.31353601,0,1
74,0.3018324,0,1
75,0.29638081,0,1
76,0.28331407,0,1
77,0.27302436,0,1
78,0.26031784,0,1
79,0.25329408,0,1
80,0.24056252,0,1
81,0.22650369,0,1
82,0.21796912,0,1
83,0.2026592,0,1
84,0.18993223,0,1
85,0.17893482,0,1
86,0.16598174,0,1
87,0.15176185,0,1
88,0.13851012,0,1
89,0.12634381,0,1
90,0.11483029,0,1
91,0.09779978,0,1
92,0.08813227,0,1
93,0.07517936,0,1
94,0.06386225,0,1
95,0.05069589,0,1
96,0.03920756,0,1
97,0.02970588,0,1
98,0.02129908,0,1
99,0.01282106,0,1
100,0.00437893,0,1
