file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,0,0,245,0.00058347,0.00520741,12
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,1,13,2621,0.00624196,0.01596175,12
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,2,26,4089,0.00973803,0.01906387,12
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,3,39,5393,0.01284353,0.02096295,12
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,4,52,6333,0.01508216,0.02196081,12
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,5,65,7274,0.01732317,0.02269616,12
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,6,78,8044,0.0192141,0.02324631,24
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,7,91,8820,0.02110979,0.02361442,24
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,8,104,9313,0.02238152,0.0239033,24
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,9,117,10075,0.02427245,0.02406877,24
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,10,130,10545,0.02596809,0.02506299,24
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,11,143,11041,0.0314694,0.03257695,36
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,12,156,11436,0.03812574,0.03870761,36
pencil-highres-3000x1520-dpi96-S150-P0.25-N1-scale10-transparent.png,0,0,3000,1520,10,13,13,1.3,1.3,13,169,11994,0.04325554,0.04210923,36
