alpha,count
0,2691330
1,0
2,0
3,0
4,0
5,751493
6,0
7,0
8,0
9,0
10,589529
11,0
12,0
13,0
14,0
15,513579
16,0
17,0
18,0
19,0
20,510801
21,0
22,0
23,0
24,0
25,481584
26,0
27,0
28,0
29,0
30,461371
31,0
32,0
33,0
34,0
35,367545
36,0
37,0
38,0
39,0
40,367131
41,0
42,0
43,0
44,0
45,275216
46,0
47,0
48,1227
49,24175
50,296175
51,0
52,10
53,21072
54,27429
55,207491
56,522
57,6778
58,23288
59,20717
60,248978
61,17161
62,3383
63,28393
64,19385
65,207488
66,13794
67,92339
68,160299
69,28617
70,140104
71,93552
72,36878
73,130761
74,98837
75,34980
76,46663
77,129550
78,44465
79,82470
80,71128
81,33264
82,51515
83,25965
84,27501
85,37380
86,12656
87,26334
88,27713
89,8776
90,23041
91,16024
92,1685
93,13597
94,13138
95,5884
96,7396
97,11525
98,2009
99,1898
100,5810
101,909
102,845
103,752
104,100
105,380
106,149
107,30
108,1
109,15
110,20
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
