file,point_count,dt_mode,dt_mode_ratio,dt_unique,dt_min,dt_max,dt_mean,dd_min,dd_max,dd_mean,dd_zero_ratio,dp_abs_mean,dp_abs_max,dtilt_abs_mean,dtilt_abs_max,short_dt_ratio,short_dt_dd_mean,short_dt_dp_abs_mean,short_dt_dtilt_abs_mean
stroke_0000_points.json,26,4000,0.88,2,3000,4000,3880,0,0.423065,0.103077,0.68,0.01507904,0.03784411,0.02839996,0.39,0,0,0,0
stroke_0001_points.json,34,4000,0.878788,2,3000,4000,3878.788,0,1.380878,0.062824,0.939394,0.01302903,0.05249344,0,0,0,0,0,0
stroke_0002_points.json,30,4000,0.931034,2,3000,4000,3931.034,0,0.817681,0.067871,0.896552,0.0181096,0.03320515,0,0,0,0,0,0
stroke_0003_points.json,94,4000,0.892473,2,3000,4000,3892.473,0,0.757624,0.008146,0.989247,0.00851919,0.15113226,0.00247308,0.229996,0,0,0,0
stroke_0004_points.json,126,4000,0.904,2,3000,4000,3904,0,2.284823,0.049714,0.96,0.00913532,0.09082585,0.00400006,0.260002,0,0,0,0
stroke_0005_points.json,50,4000,0.897959,2,3000,4000,3897.959,0,1.569865,0.073853,0.938776,0.01394676,0.09546481,0.03102037,0.720002,0,0,0,0
stroke_20260202-172338871_S200_P1_N2_step0.5_points.json,2,4,1,1,4,4,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
stroke_20260202-172415761_S200_P1_N10_step0.5_points.json,10,4,1,1,4,4,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
stroke_20260202-172519691_S200_P1_N50_step0.5_points.json,50,4,1,1,4,4,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
stroke_20260202-172653578_S200_P0.5_N2_step0.5_points.json,2,4,1,1,4,4,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
stroke_20260202-172729811_S200_P0.5_N10_step0.5_points.json,10,4,1,1,4,4,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
stroke_20260202-172749485_S200_P0.5_N50_step0.5_points.json,50,4,1,1,4,4,4,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
stroke_20260202-172815227_S200_P0.5_N50_step0.1_points.json,50,4,1,1,4,4,4,0.099998,0.100006,0.1,0,0,0,0,0,0,0,0,0
stroke_20260202-173023524_S200_P0.5_N5_step0.1_points.json,5,4,1,1,4,4,4,0.099998,0.100006,0.1,0,0,0,0,0,0,0,0,0
