file,scale,period_px,period_dip,roi_x,roi_y,roi_w,roi_h,window_w_px,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,0,8,149,0.002341,0.00635781,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,1,12,257,0.00403783,0.007929,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,2,16,408,0.00641026,0.00919782,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,3,20,459,0.00721154,0.00945497,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,4,24,541,0.00849987,0.00971681,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,5,28,634,0.00996104,0.00980266,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,6,32,689,0.01082516,0.00975059,5
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,7,36,713,0.01308761,0.01262024,10
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,8,40,748,0.0158371,0.01482944,10
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,9,44,812,0.0185866,0.01573426,10
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,10,48,819,0.02042484,0.01681529,15
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,11,52,876,0.02259301,0.01693615,15
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,12,56,921,0.02377137,0.0164532,15
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,13,60,944,0.02465121,0.01656242,15
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,14,64,960,0.02724359,0.01800873,20
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,15,68,986,0.03098291,0.02042348,20
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,16,72,1017,0.03396807,0.0211105,20
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,17,76,1020,0.03711036,0.02403776,25
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,18,80,1057,0.04048831,0.02487004,25
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,19,84,1057,0.04243653,0.02552767,25
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,20,88,1090,0.04496606,0.02487575,25
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,21,92,1125,0.04846971,0.02538058,30
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,22,96,1144,0.05294746,0.02814824,30
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,23,100,1154,0.05819507,0.03131278,30
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,24,104,1163,0.06275138,0.0328361,30
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,25,108,1164,0.0645582,0.03244123,30
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,26,112,1187,0.06715058,0.03294382,30
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,27,116,1204,0.07066993,0.03343364,35
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,28,120,1210,0.0757133,0.03534426,40
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,29,124,1217,0.08165221,0.0387547,40
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,30,128,1214,0.0839775,0.03962656,40
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,31,132,1229,0.08785822,0.03961251,40
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,32,136,1207,0.09353004,0.04362258,45
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,33,140,1226,0.09679801,0.0422777,45
pencil-highres-640x328-dpi96-S40-P0.2-N1-scale8-transparent.png,8,4,0.5,8,8,624,312,4,0.5,34,144,1238,0.09915473,0.04233945,45
