S,P,N,a_r0,a_r1,a_r2,a_r3,a_r4,a_r5,a_r6,a_r12,a_r25,a_r50,a_r75,a_r100
4,0.05,1,0.02647059,0.01029412,0.00058824,0,0,0,0,0,0,0,0,0
4,0.05,2,0.05294118,0.02058824,0.00117647,0,0,0,0,0,0,0,0,0
4,0.05,3,0.07941176,0.03088235,0.00176471,0,0,0,0,0,0,0,0,0
4,0.05,4,0.10392157,0.04117647,0.00235294,0,0,0,0,0,0,0,0,0
4,0.05,5,0.12647059,0.05147059,0.00294118,0,0,0,0,0,0,0,0,0
4,0.05,6,0.14901961,0.06127451,0.00352941,0,0,0,0,0,0,0,0,0
4,0.05,7,0.17156863,0.07058824,0.00411765,0,0,0,0,0,0,0,0,0
4,0.05,8,0.19411765,0.07941176,0.00470588,0,0,0,0,0,0,0,0,0
4,0.05,9,0.21666667,0.0877451,0.00529412,0,0,0,0,0,0,0,0,0
4,0.05,10,0.23823529,0.09607843,0.00588235,0,0,0,0,0,0,0,0,0
4,0.05,15,0.33235294,0.1377451,0.00882353,0,0,0,0,0,0,0,0,0
4,0.05,20,0.40686275,0.17794118,0.01176471,0,0,0,0,0,0,0,0,0
4,0.05,25,0.47058824,0.21372549,0.01411765,0,0,0,0,0,0,0,0,0
4,0.05,50,0.69901961,0.34509804,0.02392157,0,0,0,0,0,0,0,0,0
4,0.05,75,0.8254902,0.43480392,0.02941176,0,0,0,0,0,0,0,0,0
4,0.05,100,0.84803922,0.48382353,0.03431373,0,0,0,0,0,0,0,0,0
4,0.1,1,0.05686275,0.02107843,0.00078431,0,0,0,0,0,0,0,0,0
4,0.1,2,0.11078431,0.04117647,0.00156863,0,0,0,0,0,0,0,0,0
4,0.1,3,0.16078431,0.06029412,0.00235294,0,0,0,0,0,0,0,0,0
4,0.1,4,0.20588235,0.07892157,0.00313725,0,0,0,0,0,0,0,0,0
4,0.1,5,0.24705882,0.09705882,0.00392157,0,0,0,0,0,0,0,0,0
4,0.1,6,0.2872549,0.11372549,0.00470588,0,0,0,0,0,0,0,0,0
4,0.1,7,0.3254902,0.12941176,0.0054902,0,0,0,0,0,0,0,0,0
4,0.1,8,0.36078431,0.14411765,0.00627451,0,0,0,0,0,0,0,0,0
4,0.1,9,0.39607843,0.15833333,0.00705882,0,0,0,0,0,0,0,0,0
4,0.1,10,0.42647059,0.17205882,0.00784314,0,0,0,0,0,0,0,0,0
4,0.1,15,0.55882353,0.23186275,0.01098039,0,0,0,0,0,0,0,0,0
4,0.1,20,0.65588235,0.28088235,0.01392157,0,0,0,0,0,0,0,0,0
4,0.1,25,0.72843137,0.32009804,0.01686275,0,0,0,0,0,0,0,0,0
4,0.1,50,0.90098039,0.43872549,0.0272549,0,0,0,0,0,0,0,0,0
4,0.1,75,0.92941176,0.48382353,0.03215686,0,0,0,0,0,0,0,0,0
4,0.1,100,0.92941176,0.50294118,0.03705882,0,0,0,0,0,0,0,0,0
4,0.25,1,0.16568627,0.05882353,0.00254902,0,0,0,0,0,0,0,0,0
4,0.25,2,0.30098039,0.10980392,0.00490196,0,0,0,0,0,0,0,0,0
4,0.25,3,0.41176471,0.15441176,0.0072549,0,0,0,0,0,0,0,0,0
4,0.25,4,0.50392157,0.19362745,0.00941176,0,0,0,0,0,0,0,0,0
4,0.25,5,0.57941176,0.22843137,0.01137255,0,0,0,0,0,0,0,0,0
4,0.25,6,0.64215686,0.25882353,0.01333333,0,0,0,0,0,0,0,0,0
4,0.25,7,0.69509804,0.28529412,0.01509804,0,0,0,0,0,0,0,0,0
4,0.25,8,0.73921569,0.30882353,0.01686275,0,0,0,0,0,0,0,0,0
4,0.25,9,0.77647059,0.32990196,0.01862745,0,0,0,0,0,0,0,0,0
4,0.25,10,0.80686275,0.34901961,0.02019608,0,0,0,0,0,0,0,0,0
4,0.25,15,0.90392157,0.41519608,0.02705882,0,0,0,0,0,0,0,0,0
4,0.25,20,0.94705882,0.45588235,0.03215686,0,0,0,0,0,0,0,0,0
4,0.25,25,0.96764706,0.48088235,0.03627451,0,0,0,0,0,0,0,0,0
4,0.25,50,0.97941176,0.52598039,0.04529412,0,0,0,0,0,0,0,0,0
4,0.25,75,0.97941176,0.53823529,0.04764706,0,0,0,0,0,0,0,0,0
4,0.25,100,0.97941176,0.5504902,0.04764706,0,0,0,0,0,0,0,0,0
4,0.5,1,0.33235294,0.1254902,0.00627451,0,0,0,0,0,0,0,0,0
4,0.5,2,0.54607843,0.21764706,0.01176471,0,0,0,0,0,0,0,0,0
4,0.5,3,0.68627451,0.2872549,0.01647059,0,0,0,0,0,0,0,0,0
4,0.5,4,0.77843137,0.34019608,0.02058824,0,0,0,0,0,0,0,0,0
4,0.5,5,0.84313725,0.38039216,0.02431373,0,0,0,0,0,0,0,0,0
4,0.5,6,0.8872549,0.41176471,0.02745098,0,0,0,0,0,0,0,0,0
4,0.5,7,0.91764706,0.43676471,0.03039216,0,0,0,0,0,0,0,0,0
4,0.5,8,0.94117647,0.45588235,0.0327451,0,0,0,0,0,0,0,0,0
4,0.5,9,0.95588235,0.47156863,0.03490196,0,0,0,0,0,0,0,0,0
4,0.5,10,0.96568627,0.48480392,0.03666667,0,0,0,0,0,0,0,0,0
4,0.5,15,0.98921569,0.52401961,0.04313725,0,0,0,0,0,0,0,0,0
4,0.5,20,0.99117647,0.54411765,0.04666667,0,0,0,0,0,0,0,0,0
4,0.5,25,0.99117647,0.55637255,0.04803922,0,0,0,0,0,0,0,0,0
4,0.5,50,0.99117647,0.5872549,0.04901961,0,0,0,0,0,0,0,0,0
4,0.5,75,0.99117647,0.60245098,0.04901961,0,0,0,0,0,0,0,0,0
4,0.5,100,0.99117647,0.61029412,0.04901961,0,0,0,0,0,0,0,0,0
4,0.65,1,0.40588235,0.15784314,0.00843137,0,0,0,0,0,0,0,0,0
4,0.65,2,0.63529412,0.26470588,0.0154902,0,0,0,0,0,0,0,0,0
4,0.65,3,0.77156863,0.33970588,0.02137255,0,0,0,0,0,0,0,0,0
4,0.65,4,0.85392157,0.39313725,0.02627451,0,0,0,0,0,0,0,0,0
4,0.65,5,0.90294118,0.43235294,0.03019608,0,0,0,0,0,0,0,0,0
4,0.65,6,0.93627451,0.46176471,0.03352941,0,0,0,0,0,0,0,0,0
4,0.65,7,0.95588235,0.48284314,0.03647059,0,0,0,0,0,0,0,0,0
4,0.65,8,0.96960784,0.5,0.03882353,0,0,0,0,0,0,0,0,0
4,0.65,9,0.97941176,0.51372549,0.04078431,0,0,0,0,0,0,0,0,0
4,0.65,10,0.98529412,0.5245098,0.04235294,0,0,0,0,0,0,0,0,0
4,0.65,15,0.99411765,0.55637255,0.04686275,0,0,0,0,0,0,0,0,0
4,0.65,20,0.99411765,0.57254902,0.04862745,0,0,0,0,0,0,0,0,0
4,0.65,25,0.99411765,0.58284314,0.04941176,0,0,0,0,0,0,0,0,0
4,0.65,50,0.99411765,0.60882353,0.04941176,0,0,0,0,0,0,0,0,0
4,0.65,75,0.99411765,0.61568627,0.04941176,0,0,0,0,0,0,0,0,0
4,0.65,100,0.99411765,0.61568627,0.04941176,0,0,0,0,0,0,0,0,0
4,0.77,1,0.44607843,0.17745098,0.01,0,0,0,0,0,0,0,0,0
4,0.77,2,0.68333333,0.29264706,0.01803922,0,0,0,0,0,0,0,0,0
