S,P,N,center_alpha
4,0.05,1,0.02647059
4,0.05,2,0.05294118
4,0.05,3,0.07941176
4,0.05,4,0.10392157
4,0.05,5,0.12647059
4,0.05,6,0.14901961
4,0.05,7,0.17156863
4,0.05,8,0.19411765
4,0.05,9,0.21666667
4,0.05,10,0.23823529
4,0.05,15,0.33235294
4,0.05,20,0.40686275
4,0.05,25,0.47058824
4,0.05,50,0.69901961
4,0.05,75,0.8254902
4,0.05,100,0.84803922
4,0.1,1,0.05686275
4,0.1,2,0.11078431
4,0.1,3,0.16078431
4,0.1,4,0.20588235
4,0.1,5,0.24705882
4,0.1,6,0.2872549
4,0.1,7,0.3254902
4,0.1,8,0.36078431
4,0.1,9,0.39607843
4,0.1,10,0.42647059
4,0.1,15,0.55882353
4,0.1,20,0.65588235
4,0.1,25,0.72843137
4,0.1,50,0.90098039
4,0.1,75,0.92941176
4,0.1,100,0.92941176
4,0.25,1,0.16568627
4,0.25,2,0.30098039
4,0.25,3,0.41176471
4,0.25,4,0.50392157
4,0.25,5,0.57941176
4,0.25,6,0.64215686
4,0.25,7,0.69509804
4,0.25,8,0.73921569
4,0.25,9,0.77647059
4,0.25,10,0.80686275
4,0.25,15,0.90392157
4,0.25,20,0.94705882
4,0.25,25,0.96764706
4,0.25,50,0.97941176
4,0.25,75,0.97941176
4,0.25,100,0.97941176
4,0.5,1,0.33235294
4,0.5,2,0.54607843
4,0.5,3,0.68627451
4,0.5,4,0.77843137
4,0.5,5,0.84313725
4,0.5,6,0.8872549
4,0.5,7,0.91764706
4,0.5,8,0.94117647
4,0.5,9,0.95588235
4,0.5,10,0.96568627
4,0.5,15,0.98921569
4,0.5,20,0.99117647
4,0.5,25,0.99117647
4,0.5,50,0.99117647
4,0.5,75,0.99117647
4,0.5,100,0.99117647
4,0.65,1,0.40588235
4,0.65,2,0.63529412
4,0.65,3,0.77156863
4,0.65,4,0.85392157
4,0.65,5,0.90294118
4,0.65,6,0.93627451
4,0.65,7,0.95588235
4,0.65,8,0.96960784
4,0.65,9,0.97941176
4,0.65,10,0.98529412
4,0.65,15,0.99411765
4,0.65,20,0.99411765
4,0.65,25,0.99411765
4,0.65,50,0.99411765
4,0.65,75,0.99411765
4,0.65,100,0.99411765
4,0.77,1,0.44607843
4,0.77,2,0.68333333
4,0.77,3,0.81372549
4,0.77,4,0.8872549
4,0.77,5,0.92941176
4,0.77,6,0.95490196
4,0.77,7,0.97058824
4,0.77,8,0.98137255
4,0.77,9,0.9872549
4,0.77,10,0.99117647
4,0.77,15,0.99411765
4,0.77,20,0.99411765
4,0.77,25,0.99411765
4,0.77,50,0.99411765
4,0.77,75,0.99411765
4,0.77,100,0.99411765
4,0.85,1,0.47156863
4,0.85,2,0.70980392
4,0.85,3,0.83431373
4,0.85,4,0.90098039
4,0.85,5,0.94117647
4,0.85,6,0.96568627
4,0.85,7,0.97941176
4,0.85,8,0.98627451
4,0.85,9,0.99117647
4,0.85,10,0.99313725
4,0.85,15,0.99411765
4,0.85,20,0.99411765
4,0.85,25,0.99411765
4,0.85,50,0.99411765
4,0.85,75,0.99411765
4,0.85,100,0.99411765
4,1,1,0.50392157
4,1,2,0.74313725
4,1,3,0.86176471
4,1,4,0.92352941
4,1,5,0.95882353
4,1,6,0.9754902
4,1,7,0.98529412
4,1,8,0.99019608
4,1,9,0.99313725
4,1,10,0.99509804
4,1,15,0.99509804
4,1,20,0.99509804
4,1,25,0.99509804
4,1,50,0.99509804
4,1,75,0.99509804
4,1,100,0.99509804
5,0.05,1,0.0254902
5,0.05,2,0.05098039
5,0.05,3,0.07647059
5,0.05,4,0.10196078
5,0.05,5,0.12352941
5,0.05,6,0.14509804
5,0.05,7,0.16666667
5,0.05,8,0.18823529
5,0.05,9,0.20980392
5,0.05,10,0.22941176
5,0.05,15,0.3254902
5,0.05,20,0.39411765
5,0.05,25,0.4627451
5,0.05,50,0.7
5,0.05,75,0.83137255
5,0.05,100,0.85686275
5,0.1,1,0.05784314
5,0.1,2,0.11176471
5,0.1,3,0.16078431
5,0.1,4,0.20686275
5,0.1,5,0.25
5,0.1,6,0.29313725
5,0.1,7,0.33333333
5,0.1,8,0.37058824
5,0.1,9,0.40490196
5,0.1,10,0.43627451
5,0.1,15,0.57352941
5,0.1,20,0.6754902
5,0.1,25,0.75294118
5,0.1,50,0.9245098
5,0.1,75,0.93529412
5,0.1,100,0.93529412
5,0.25,1,0.16960784
5,0.25,2,0.30980392
5,0.25,3,0.4245098
5,0.25,4,0.51960784
5,0.25,5,0.59803922
5,0.25,6,0.66372549
5,0.25,7,0.71862745
5,0.25,8,0.76372549
5,0.25,9,0.80196078
5,0.25,10,0.83235294
5,0.25,15,0.92647059
5,0.25,20,0.96372549
5,0.25,25,0.97941176
5,0.25,50,0.97941176
5,0.25,75,0.97941176
5,0.25,100,0.97941176
5,0.5,1,0.35098039
5,0.5,2,0.5754902
5,0.5,3,0.71960784
5,0.5,4,0.81372549
5,0.5,5,0.87647059
5,0.5,6,0.91568627
5,0.5,7,0.94313725
5,0.5,8,0.96078431
5,0.5,9,0.97254902
5,0.5,10,0.98137255
5,0.5,15,0.99215686
5,0.5,20,0.99215686
5,0.5,25,0.99215686
5,0.5,50,0.99215686
5,0.5,75,0.99215686
5,0.5,100,0.99215686
5,0.65,1,0.43333333
5,0.65,2,0.6754902
5,0.65,3,0.8127451
5,0.65,4,0.89117647
5,0.65,5,0.93431373
5,0.65,6,0.96078431
5,0.65,7,0.97647059
5,0.65,8,0.98627451
5,0.65,9,0.99117647
5,0.65,10,0.99411765
5,0.65,15,0.99411765
5,0.65,20,0.99411765
5,0.65,25,0.99411765
5,0.65,50,0.99411765
5,0.65,75,0.99411765
5,0.65,100,0.99411765
5,0.77,1,0.48529412
5,0.77,2,0.73137255
5,0.77,3,0.85784314
5,0.77,4,0.92352941
5,0.77,5,0.95882353
5,0.77,6,0.97745098
5,0.77,7,0.9872549
5,0.77,8,0.99117647
5,0.77,9,0.99411765
5,0.77,10,0.99607843
5,0.77,15,0.99607843
5,0.77,20,0.99607843
5,0.77,25,0.99607843
5,0.77,50,0.99607843
5,0.77,75,0.99607843
5,0.77,100,0.99607843
5,0.85,1,0.51372549
5,0.85,2,0.75882353
5,0.85,3,0.87843137
5,0.85,4,0.93823529
5,0.85,5,0.96666667
5,0.85,6,0.98235294
5,0.85,7,0.99019608
5,0.85,8,0.99411765
5,0.85,9,0.99607843
5,0.85,10,0.99607843
5,0.85,15,0.99607843
5,0.85,20,0.99607843
5,0.85,25,0.99607843
5,0.85,50,0.99607843
5,0.85,75,0.99607843
5,0.85,100,0.99607843
5,1,1,0.55392157
5,1,2,0.79607843
5,1,3,0.90490196
5,1,4,0.95490196
5,1,5,0.97843137
5,1,6,0.98921569
5,1,7,0.99313725
5,1,8,0.99607843
5,1,9,0.99607843
5,1,10,0.99607843
5,1,15,0.99607843
5,1,20,0.99607843
5,1,25,0.99607843
5,1,50,0.99607843
5,1,75,0.99607843
5,1,100,0.99607843
6,0.05,1,0.01862745
6,0.05,2,0.0372549
6,0.05,3,0.05588235
6,0.05,4,0.0745098
6,0.05,5,0.09215686
6,0.05,6,0.10980392
6,0.05,7,0.12647059
6,0.05,8,0.14313725
6,0.05,9,0.15784314
6,0.05,10,0.17254902
6,0.05,15,0.24313725
6,0.05,20,0.30980392
6,0.05,25,0.37156863
6,0.05,50,0.59901961
6,0.05,75,0.73627451
6,0.05,100,0.83431373
6,0.1,1,0.04215686
6,0.1,2,0.08235294
6,0.1,3,0.12058824
6,0.1,4,0.15686275
6,0.1,5,0.19215686
6,0.1,6,0.22647059
6,0.1,7,0.25882353
6,0.1,8,0.28921569
6,0.1,9,0.31862745
6,0.1,10,0.34607843
6,0.1,15,0.46862745
6,0.1,20,0.56960784
6,0.1,25,0.65
6,0.1,50,0.86960784
6,0.1,75,0.94215686
6,0.1,100,0.95294118
6,0.25,1,0.13137255
6,0.25,2,0.24509804
6,0.25,3,0.34411765
6,0.25,4,0.42941176
6,0.25,5,0.50196078
6,0.25,6,0.56568627
