# normalized-falloff S0=200 P=0.1 N=1 count=11
r_norm,mean_alpha,stddev_alpha,count
0,0.02905526,0.01534996,11
1,0.02894853,0.01499518,11
2,0.02865464,0.01479142,11
3,0.02834069,0.0146039,11
4,0.02808212,0.01437212,11
5,0.02780383,0.01415463,11
6,0.0275892,0.01388601,11
7,0.0273374,0.01364746,11
8,0.02711511,0.01338601,11
9,0.02686748,0.01314372,11
10,0.02663125,0.01289338,11
11,0.02636151,0.01266798,11
12,0.02619692,0.01235996,11
13,0.02592566,0.01213848,11
14,0.02561208,0.01195171,11
15,0.02537522,0.01170369,11
16,0.0251442,0.01145208,11
17,0.02485752,0.01124067,11
18,0.02456918,0.01102241,11
19,0.0243398,0.01075758,11
20,0.02412103,0.01048488,11
21,0.02386545,0.01023638,11
22,0.02360485,0.00999266,11
23,0.02336118,0.00973627,11
24,0.0231098,0.009487,11
25,0.02287183,0.00922765,11
26,0.02254848,0.00901244,11
27,0.02221114,0.00880857,11
28,0.02190873,0.00857863,11
29,0.02161874,0.00833905,11
30,0.02134769,0.00808693,11
31,0.02107111,0.0078406,11
32,0.0207752,0.00761004,11
33,0.02049258,0.00737073,11
34,0.02015568,0.00714685,11
35,0.01985178,0.00688799,11
36,0.01953189,0.00664085,11
37,0.01924254,0.00637279,11
38,0.01895319,0.00610655,11
39,0.01863264,0.0058626,11
40,0.01831322,0.00561988,11
41,0.01801705,0.0053826,11
42,0.0177465,0.00513288,11
43,0.01739038,0.00493779,11
44,0.01710785,0.00469978,11
45,0.01677345,0.00449416,11
46,0.01647848,0.00426922,11
47,0.01619585,0.00404222,11
48,0.01589576,0.00382893,11
49,0.01559094,0.00362223,11
50,0.01527192,0.00342726,11
51,0.0149808,0.00329244,11
52,0.01471779,0.00315393,11
53,0.01440035,0.00303806,11
54,0.01410488,0.00292375,11
55,0.0137806,0.00282104,11
56,0.01347694,0.00272338,11
57,0.01318337,0.00263061,11
58,0.01289357,0.00255001,11
59,0.01262776,0.00248097,11
60,0.01234466,0.00242345,11
61,0.01206577,0.00238407,11
62,0.0117937,0.00236442,11
63,0.01150818,0.00235705,11
64,0.01121877,0.00236382,11
65,0.01094111,0.00239331,11
66,0.01065752,0.00243566,11
67,0.01033683,0.00243819,11
68,0.01007806,0.00243877,11
69,0.0098442,0.00247022,11
70,0.0095972,0.0025014,11
71,0.00931492,0.00250893,11
72,0.0090494,0.00253968,11
73,0.00881352,0.00260808,11
74,0.00854744,0.00265385,11
75,0.00829659,0.00272283,11
76,0.00808139,0.00279408,11
77,0.0078125,0.00281379,11
78,0.00755924,0.00285786,11
79,0.00731871,0.00292243,11
80,0.0070498,0.00296078,11
81,0.00688917,0.00298333,11
82,0.00670332,0.00297821,11
83,0.00649785,0.00295097,11
84,0.00631897,0.00296531,11
85,0.00610469,0.00294315,11
86,0.00590977,0.00294767,11
87,0.00571335,0.00295337,11
88,0.00552041,0.00296674,11
89,0.00530822,0.00295943,11
90,0.0050976,0.00295694,11
91,0.00490025,0.00297374,11
92,0.00470591,0.00299755,11
93,0.00445434,0.00295334,11
94,0.00421462,0.00293185,11
95,0.00396471,0.00290409,11
96,0.00370493,0.00286906,11
97,0.00334817,0.00275082,11
98,0.00289722,0.00251952,11
99,0.00209546,0.00177105,11
100,0.00099003,0.00058146,11
