r,mean_alpha
0,0.70196078
1,0.70931373
2,0.69
3,0.68745098
4,0.68963585
5,0.68553922
6,0.6983066
7,0.69479638
8,0.6870915
9,0.69359477
10,0.69913495
11,0.68590686
12,0.6915601
13,0.68978328
14,0.68196078
15,0.68962418
16,0.69223529
17,0.68689179
18,0.68016591
19,0.68240896
20,0.67798574
21,0.6778372
22,0.67892157
23,0.67994398
24,0.67881897
25,0.68206914
26,0.676088
27,0.67490196
28,0.67423621
29,0.66988491
30,0.66848739
31,0.66785852
32,0.66677979
33,0.67085736
34,0.66481687
35,0.66755279
36,0.66517197
37,0.66277724
38,0.66072003
39,0.65961799
40,0.65677225
41,0.65027149
42,0.65225787
43,0.64152168
44,0.64860536
45,0.64029009
46,0.63970588
47,0.64135598
48,0.63727911
49,0.6379386
50,0.63717018
51,0.63396995
52,0.63103778
53,0.62521481
54,0.62781409
55,0.61868253
56,0.61738562
57,0.6140487
58,0.61039216
59,0.60916553
60,0.605387
61,0.60015229
62,0.5990097
63,0.5957549
64,0.59295804
65,0.59118563
66,0.58944193
67,0.57739601
68,0.57912773
69,0.57957202
70,0.57610809
71,0.56497572
72,0.56196078
73,0.56357668
74,0.55400128
75,0.55060966
76,0.55499656
77,0.53792444
78,0.53120784
79,0.53570062
80,0.52347742
81,0.52802487
82,0.52245173
83,0.50622926
84,0.50625829
85,0.49015922
86,0.48724059
87,0.48252101
88,0.47741467
89,0.47069253
90,0.46459384
91,0.45794053
92,0.44897904
93,0.44035948
94,0.4384106
95,0.43339913
96,0.42478534
97,0.41928988
98,0.41530677
99,0.3163707
100,0.08939165
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
