r,mean_alpha
0,0.99019608
1,0.99068627
2,0.98745098
3,0.9872549
4,0.98739496
5,0.98713235
6,0.98832442
7,0.98642534
8,0.98643791
9,0.98568627
10,0.98638985
11,0.98443627
12,0.98601876
13,0.98524252
14,0.98521569
15,0.98419118
16,0.98631373
17,0.98416848
18,0.9831825
19,0.98436975
20,0.98211527
21,0.98300654
22,0.9833045
23,0.98347339
24,0.98319653
25,0.98255934
26,0.98261597
27,0.98159041
28,0.98182855
29,0.98077579
30,0.97995198
31,0.98037293
32,0.98027903
33,0.98077662
34,0.97950425
35,0.98024133
36,0.97937962
37,0.97912247
38,0.97695275
39,0.97582826
40,0.9753997
41,0.97381599
42,0.97207368
43,0.97004971
44,0.96919359
45,0.96633092
46,0.96591036
47,0.9640707
48,0.96153474
49,0.96093911
50,0.95864198
51,0.95631525
52,0.9539933
53,0.95017625
54,0.94903171
55,0.94452523
56,0.94287582
57,0.93911872
58,0.93569659
59,0.93198814
60,0.92920537
61,0.92346278
62,0.91703308
63,0.91446078
64,0.91356736
65,0.90464541
66,0.89786011
67,0.89175371
68,0.88591717
69,0.879704
70,0.87300214
71,0.86120705
72,0.84841432
73,0.83883929
74,0.82646262
75,0.81090789
76,0.80254558
77,0.77772995
78,0.76151373
79,0.74677985
80,0.72185086
81,0.71084808
82,0.68729981
83,0.65076923
84,0.6343727
85,0.59019608
86,0.57284958
87,0.53834034
88,0.50085694
89,0.46926019
90,0.42346639
91,0.38780029
92,0.33037863
93,0.2800994
94,0.24609142
95,0.1970983
96,0.14790465
97,0.11447403
98,0.07360531
99,0.04404366
100,0.00877325
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
