# normalized-falloff S0=200 P=1 N=1 count=7
r_norm,mean_alpha,stddev_alpha,count
0,0.59355742,0.01625253,7
1,0.59259489,0.01807745,7
2,0.58815896,0.01933914,7
3,0.58477696,0.02034299,7
4,0.58257843,0.021804,7
5,0.58044843,0.0229888,7
6,0.57944581,0.02464428,7
7,0.57621485,0.02570416,7
8,0.57515432,0.02756852,7
9,0.57161742,0.02843731,7
10,0.57014309,0.02986977,7
11,0.56763192,0.0311064,7
12,0.56672811,0.03287295,7
13,0.56459349,0.03407416,7
14,0.56156216,0.03514561,7
15,0.55896675,0.03638475,7
16,0.55888881,0.03848293,7
17,0.55502833,0.03919284,7
18,0.55177489,0.04006537,7
19,0.55065656,0.04163483,7
20,0.54753358,0.04268695,7
21,0.54650868,0.04440344,7
22,0.54396106,0.04563407,7
23,0.54181141,0.04707817,7
24,0.53964508,0.04859874,7
25,0.53736812,0.04991926,7
26,0.53424391,0.05097489,7
27,0.53043614,0.0517382,7
28,0.52826662,0.05321894,7
29,0.52549051,0.05446788,7
30,0.52288025,0.05582582,7
31,0.52152022,0.05780391,7
32,0.51958017,0.05956522,7
33,0.51639399,0.06063925,7
34,0.51224746,0.06135147,7
35,0.5089471,0.06261456,7
36,0.50471679,0.06336577,7
37,0.50158894,0.06475467,7
38,0.49693572,0.06524953,7
39,0.49138194,0.06526949,7
40,0.48607959,0.06548698,7
41,0.48118713,0.06652349,7
42,0.47577914,0.06727349,7
43,0.46999488,0.06783,7
44,0.46518105,0.06896828,7
45,0.45907114,0.06931251,7
46,0.45455555,0.07057601,7
47,0.44930437,0.0714235,7
48,0.44352475,0.07196678,7
49,0.43825021,0.0728268,7
50,0.43197557,0.07310894,7
51,0.42530725,0.07352501,7
52,0.41867817,0.07396853,7
53,0.41159787,0.07415551,7
54,0.4049316,0.07461719,7
55,0.3979546,0.07488183,7
56,0.39146825,0.07547114,7
57,0.38388916,0.0754,7
58,0.37668838,0.07556879,7
59,0.36936268,0.07567429,7
60,0.36169887,0.07558662,7
61,0.35513763,0.0761406,7
62,0.34819435,0.07648048,7
63,0.34142753,0.07695813,7
64,0.33484278,0.07759808,7
65,0.32679751,0.07727268,7
66,0.31883529,0.0770413,7
67,0.31001243,0.07639272,7
68,0.30135191,0.0762022,7
69,0.29270664,0.07602849,7
70,0.28389026,0.07576464,7
71,0.27376328,0.0745294,7
72,0.2639283,0.07351999,7
73,0.25420584,0.07256366,7
74,0.24456687,0.07167226,7
75,0.23416853,0.07022155,7
76,0.2244128,0.06935897,7
77,0.21266033,0.06705855,7
78,0.20165682,0.06538788,7
79,0.19115776,0.06415844,7
80,0.18012518,0.06252313,7
81,0.17081431,0.05972587,7
82,0.16064396,0.05623708,7
83,0.14973808,0.05212206,7
84,0.14092249,0.04916604,7
85,0.13064644,0.044659,7
86,0.12118934,0.04095094,7
87,0.11150191,0.03695444,7
88,0.10175767,0.03296051,7
89,0.09136884,0.02859177,7
90,0.08078629,0.02413175,7
91,0.07171661,0.02110906,7
92,0.06213906,0.01704343,7
93,0.05372105,0.01308877,7
94,0.04566947,0.0096372,7
95,0.03720335,0.005965,7
96,0.02897559,0.00397146,7
97,0.02314144,0.00367232,7
98,0.01704505,0.00475669,7
99,0.01177607,0.00628739,7
100,0.00654583,0.00790699,7
