r,mean_alpha
0,0.59901961
1,0.5995098
2,0.58392157
3,0.58490196
4,0.58627451
5,0.58321078
6,0.59046346
7,0.5800905
8,0.57941176
9,0.57509804
10,0.58102653
11,0.57254902
12,0.57693947
13,0.57414861
14,0.57219608
15,0.56875
16,0.57654902
17,0.56652142
18,0.56138763
19,0.56619048
20,0.5573975
21,0.56063577
22,0.56196655
23,0.56268908
24,0.56064751
25,0.55856553
26,0.55829747
27,0.55350763
28,0.55437756
29,0.55029838
30,0.54779912
31,0.54946175
32,0.54832202
33,0.54926951
34,0.54498705
35,0.54643665
36,0.54369977
37,0.54281581
38,0.53468338
39,0.52985125
40,0.52633484
41,0.52224736
42,0.51613191
43,0.50832643
44,0.50610329
45,0.49650819
46,0.49514006
47,0.49016846
48,0.4838901
49,0.48121775
50,0.47453401
51,0.47039725
52,0.46426351
53,0.4566204
54,0.45246914
55,0.44421679
56,0.44035948
57,0.4339151
58,0.42723426
59,0.42031464
60,0.41534572
61,0.40685323
62,0.39751436
63,0.39297059
64,0.39076534
65,0.38006231
66,0.37214367
67,0.36341396
68,0.3571926
69,0.34988688
70,0.34307135
71,0.33111171
72,0.31950554
73,0.31073179
74,0.30041447
75,0.28816115
76,0.28232714
77,0.26532759
78,0.25377255
79,0.24512195
80,0.23145425
81,0.22474892
82,0.21261039
83,0.19555053
84,0.18767507
85,0.16905499
86,0.160999
87,0.14869048
88,0.13434277
89,0.12364066
90,0.10901261
91,0.09764966
92,0.08128465
93,0.06729303
94,0.05820673
95,0.04565732
96,0.03358324
97,0.02559618
98,0.01611638
99,0.00959428
100,0.0018728
